Wall time,Step,Value
1600889389.830848,0,1.8887431621551514
1600889421.898174,1,1.1763224601745605
1600889453.979326,2,1.0086287260055542
1600889486.055757,3,0.9018117785453796
1600889518.183337,4,0.8320726156234741
1600889550.343957,5,0.7904369235038757
1600889582.47962,6,0.7525997757911682
1600889614.636947,7,0.7089985609054565
1600889646.797888,8,0.6855398416519165
1600889678.805452,9,0.6656889319419861
1600889710.926731,10,0.6413323879241943
1600889743.020728,11,0.6050609350204468
1600889775.181743,12,0.5869457721710205
1600889807.335821,13,0.5786096453666687
1600889839.386797,14,0.5599897503852844
1600889871.526064,15,0.5470028519630432
1600889903.621867,16,0.5256785154342651
1600889935.763,17,0.511572003364563
1600889967.892326,18,0.49427515268325806
1600890000.034421,19,0.4891915023326874
1600890032.201325,20,0.4801047146320343
1600890064.346448,21,0.4717058539390564
1600890096.519615,22,0.4575973451137543
1600890128.651212,23,0.4379170536994934
1600890160.785905,24,0.4321216940879822
1600890192.952175,25,0.4219285249710083
1600890225.152493,26,0.4128997325897217
1600890257.307731,27,0.4035876393318176
1600890289.50441,28,0.4081214368343353
