Wall time,Step,Value
1600879100.849073,0,0.6793327927589417
1600879457.896015,1,0.845557451248169
1600879814.582615,2,0.8928230404853821
1600880170.859552,3,0.9155692458152771
1600880527.168108,4,0.9274427890777588
1600880883.686016,5,0.9346675276756287
1600881239.86523,6,0.9399310946464539
1600881596.498089,7,0.9436349272727966
1600881953.011232,8,0.9470135569572449
1600882310.021228,9,0.9494878649711609
1600882667.689373,10,0.9516725540161133
1600883024.042371,11,0.953603208065033
1600883380.230828,12,0.9547463655471802
1600883736.488076,13,0.9562248587608337
1600884092.615034,14,0.9570733308792114
1600884448.639331,15,0.9580945372581482
