Wall time,Step,Value
1600940006.847181,0,0.28088316321372986
1600940041.603254,1,0.33370599150657654
1600940076.126066,2,0.360816091299057
1600940110.345407,3,0.3890441656112671
1600940144.16887,4,0.41559529304504395
1600940178.279014,5,0.4376746714115143
1600940213.266695,6,0.4552822709083557
1600940247.223123,7,0.47680267691612244
1600940280.836851,8,0.49021801352500916
1600940314.454271,9,0.5053102374076843
1600940348.145763,10,0.5226383209228516
1600940381.786344,11,0.5345165133476257
1600940415.516305,12,0.5468138456344604
1600940449.243407,13,0.5737842321395874
1600940482.933041,14,0.5672163367271423
1600940516.648393,15,0.5905534029006958
1600940550.497158,16,0.5967020392417908
1600940584.16486,17,0.606484055519104
1600940617.863199,18,0.6119340658187866
1600940651.636042,19,0.6225544810295105
1600940685.335282,20,0.6281442046165466
1600940719.014391,21,0.6407210826873779
1600940752.649892,22,0.6477082371711731
1600940786.343761,23,0.655953049659729
1600940820.141436,24,0.6605645418167114
1600940853.863815,25,0.666014552116394
1600940887.694206,26,0.6721632480621338
1600940921.31073,27,0.6738401055335999
1600940955.065421,28,0.6773337125778198
1600940988.684109,29,0.6890721321105957
1600941022.344232,30,0.7059810161590576
1600941056.087749,31,0.6980156302452087
1600941089.792158,32,0.701928436756134
1600941123.584017,33,0.7159027457237244
1600941157.243077,34,0.7122694253921509
1600941190.931598,35,0.727501392364502
1600941224.711027,36,0.7325321435928345
1600941258.49526,37,0.7342090606689453
1600941292.223554,38,0.7388205528259277
1600941325.923787,39,0.7515371441841125
1600941359.593255,40,0.7515371441841125
1600941393.308463,41,0.7642537951469421
1600941427.088395,42,0.7581050992012024
1600941460.799768,43,0.7708216905593872
1600941494.604402,44,0.7680268287658691
1600941528.369171,45,0.7828395962715149
1600941562.080864,46,0.7824203372001648
1600941595.798803,47,0.7963946461677551
1600941629.527356,48,0.7863331437110901
1600941663.177177,49,0.7996087074279785
1600941697.031567,50,0.8043599724769592
1600941730.753057,51,0.8012856245040894
1600941764.438564,52,0.8144214749336243
1600941798.225396,53,0.8078535199165344
1600941831.942968,54,0.8075740933418274
1600941865.612348,55,0.8201509118080139
1600941899.337692,56,0.8253214359283447
1600941933.034946,57,0.8237842321395874
1600941966.780459,58,0.8365008234977722
1600942000.503279,59,0.833007276058197
1600942034.219569,60,0.8365008234977722
1600942067.965075,61,0.8390161991119385
1600942101.732187,62,0.8415315747261047
1600942135.506743,63,0.847819983959198
1600942169.216705,64,0.8506148457527161
1600942202.989836,65,0.8545276522636414
1600942236.731881,66,0.8584404587745667
1600942270.439697,67,0.8601173758506775
1600942304.159065,68,0.8606763482093811
1600942337.890432,69,0.8669647574424744
1600942371.690844,70,0.8562045693397522
1600942405.451748,71,0.8630520105361938
1600942439.115415,72,0.8698993921279907
1600942472.847619,73,0.877585232257843
1600942506.593392,74,0.8798211216926575
1600942540.356312,75,0.8745108842849731
1600942574.078017,76,0.8767467737197876
1600942607.840796,77,0.882476270198822
1600942641.6229,78,0.8866685032844543
1600942675.392419,79,0.8827557563781738
1600942709.130318,80,0.888624906539917
1600942742.871746,81,0.8896031379699707
1600942776.569678,82,0.8932364583015442
1600942810.333622,83,0.8961710333824158
1600942844.161994,84,0.8889043927192688
1600942877.965322,85,0.9034376740455627
1600942911.744522,86,0.9070709943771362
1600942945.493844,87,0.8971492648124695
1600942979.198001,88,0.9017607569694519
1600943012.828694,89,0.9048351049423218
1600943046.560155,90,0.9095863699913025
1600943080.3217,91,0.9137786626815796
1600943114.04221,92,0.9119619727134705
1600943147.793646,93,0.9107043147087097
1600943181.490637,94,0.9136388897895813
1600943215.153402,95,0.9165735244750977
1600943248.842582,96,0.9076299667358398
1600943282.624032,97,0.9118222594261169
1600943316.331995,98,0.9133594036102295
1600943349.944134,99,0.9200670719146729
1600943383.635845,100,0.9199273586273193
1600943417.31622,101,0.9231414198875427
1600943451.009578,102,0.9283118844032288
1600943484.725002,103,0.9281721711158752
1600943518.439571,104,0.9259362816810608
1600943552.147226,105,0.9291503429412842
1600943585.903656,106,0.9277529120445251
1600943619.658775,107,0.9255170226097107
1600943653.328873,108,0.9302682876586914
1600943687.106926,109,0.9220234751701355
1600943720.844,110,0.929429829120636
1600943754.50892,111,0.9285913705825806
1600943788.301728,112,0.9355785250663757
1600943822.025992,113,0.9337618947029114
1600943855.719288,114,0.9392118453979492
1600943889.43608,115,0.9413080215454102
1600943923.18151,116,0.9260759949684143
1600943956.932122,117,0.9392118453979492
1600943990.648892,118,0.9413080215454102
1600944024.336595,119,0.9344605803489685
1600944058.007847,120,0.9323644638061523
1600944091.748822,121,0.938093900680542
1600944125.521881,122,0.9372554421424866
1600944159.247206,123,0.9375349283218384
1600944192.93718,124,0.9417272210121155
1600944226.747676,125,0.9452207684516907
1600944260.470409,126,0.9471771717071533
1600944294.202796,127,0.9422861933708191
1600944327.858474,128,0.9470374584197998
1600944361.581735,129,0.9413080215454102
1600944395.303834,130,0.946757972240448
1600944429.014087,131,0.9448015689849854
1600944462.681201,132,0.9529066681861877
1600944496.371816,133,0.9382336735725403
1600944530.113896,134,0.9597540497779846
1600944563.809861,135,0.9489938616752625
1600944597.564482,136,0.9508104920387268
1600944631.276468,137,0.9534656405448914
1600944665.019794,138,0.9530463814735413
1600944698.832008,139,0.9488540887832642
1600944732.461674,140,0.9530463814735413
1600944766.721134,141,0.954024612903595
1600944800.406979,142,0.9575181603431702
1600944834.307306,143,0.9503912925720215
1600944868.789482,144,0.9489938616752625
