Wall time,Step,Value
1600940006.847019,0,2.5775506496429443
1600940041.602707,1,2.341549873352051
1600940076.125445,2,2.2091219425201416
1600940110.344833,3,2.074023962020874
1600940144.168409,4,1.9755980968475342
1600940178.278788,5,1.8974696397781372
1600940213.266458,6,1.8178318738937378
1600940247.22278,7,1.7295876741409302
1600940280.836373,8,1.6990967988967896
1600940314.453627,9,1.6237428188323975
1600940348.145176,10,1.5729323625564575
1600940381.785574,11,1.5455917119979858
1600940415.515631,12,1.4918242692947388
1600940449.242797,13,1.4328659772872925
1600940482.932487,14,1.4288495779037476
1600940516.64776,15,1.3565951585769653
1600940550.496554,16,1.3305299282073975
1600940584.164306,17,1.2974151372909546
1600940617.862621,18,1.2769441604614258
1600940651.635583,19,1.2586162090301514
1600940685.334604,20,1.229654312133789
1600940719.013988,21,1.2008023262023926
1600940752.649245,22,1.1747850179672241
1600940786.343146,23,1.1414686441421509
1600940820.140778,24,1.137006402015686
1600940853.86328,25,1.1061409711837769
1600940887.69351,26,1.0820586681365967
1600940921.310054,27,1.0666630268096924
1600940955.064766,28,1.0615463256835938
1600940988.683479,29,1.0293196439743042
1600941022.343551,30,0.9928168058395386
1600941056.087237,31,1.0075057744979858
1600941089.791835,32,0.9867322444915771
1600941123.583687,33,0.945159375667572
1600941157.24247,34,0.9498197436332703
1600941190.931215,35,0.9219062328338623
1600941224.71078,36,0.9079187512397766
1600941258.494705,37,0.8967509865760803
1600941292.223171,38,0.8891139626502991
1600941325.923138,39,0.8676124215126038
1600941359.592583,40,0.8420236706733704
1600941393.308059,41,0.8262330293655396
1600941427.087676,42,0.8253495693206787
1600941460.799336,43,0.7971232533454895
1600941494.603845,44,0.8006339073181152
1600941528.36885,45,0.763949990272522
1600941562.080353,46,0.7620044946670532
1600941595.798164,47,0.744053065776825
1600941629.527034,48,0.7428113222122192
1600941663.176682,49,0.7199561595916748
1600941697.031134,50,0.7005190253257751
1600941730.752624,51,0.6993478536605835
1600941764.438006,52,0.6714097261428833
1600941798.224973,53,0.6863647699356079
1600941831.942354,54,0.6898335218429565
1600941865.611741,55,0.6598437428474426
1600941899.337323,56,0.6370881199836731
1600941933.034241,57,0.6332030892372131
1600941966.779745,58,0.6101877093315125
1600942000.502666,59,0.6131910681724548
1600942034.218896,60,0.6057739853858948
1600942067.964465,61,0.5985211133956909
1600942101.731474,62,0.5960003733634949
1600942135.50634,63,0.5728995203971863
1600942169.216091,64,0.5748450756072998
1600942202.989113,65,0.5643015503883362
1600942236.731324,66,0.5549810528755188
1600942270.439143,67,0.549552857875824
1600942304.158679,68,0.5369465947151184
1600942337.890051,69,0.5270405411720276
1600942371.690391,70,0.5553451776504517
1600942405.451193,71,0.5364972352981567
1600942439.115015,72,0.5112063884735107
1600942472.847295,73,0.4996277987957001
1600942506.593011,74,0.48435869812965393
1600942540.355631,75,0.5008642673492432
1600942574.077265,76,0.5025320649147034
1600942607.840245,77,0.48241519927978516
1600942641.622219,78,0.4687983989715576
1600942675.391807,79,0.47849899530410767
1600942709.129852,80,0.46734610199928284
1600942742.87111,81,0.45239508152008057
1600942776.569246,82,0.4506579339504242
1600942810.33326,83,0.4453299641609192
1600942844.161349,84,0.45467033982276917
1600942877.964995,85,0.42393991351127625
1600942911.743815,86,0.4171547293663025
1600942945.493406,87,0.43070805072784424
1600942979.197207,88,0.4380391240119934
1600943012.828402,89,0.41008642315864563
1600943046.559548,90,0.3982275724411011
1600943080.321045,91,0.3909930884838104
1600943114.041715,92,0.3909868896007538
1600943147.792933,93,0.4091282784938812
1600943181.49002,94,0.3901415169239044
1600943215.152928,95,0.38004112243652344
1600943248.841943,96,0.3879479765892029
1600943282.6235,97,0.39129480719566345
1600943316.331313,98,0.374622642993927
1600943349.943453,99,0.36758875846862793
1600943383.635538,100,0.36154329776763916
1600943417.315859,101,0.36526861786842346
1600943451.009019,102,0.34985780715942383
1600943484.724448,103,0.347578763961792
1600943518.438968,104,0.35300004482269287
1600943552.146948,105,0.3429078161716461
1600943585.902975,106,0.34515851736068726
1600943619.658308,107,0.3477068543434143
1600943653.328237,108,0.3304586410522461
1600943687.106519,109,0.3612598180770874
1600943720.843755,110,0.3244211971759796
1600943754.508628,111,0.3446907103061676
1600943788.301364,112,0.3181465268135071
1600943822.025612,113,0.33311259746551514
1600943855.718732,114,0.3180652856826782
1600943889.435443,115,0.30690476298332214
1600943923.181029,116,0.34432271122932434
1600943956.931797,117,0.31185439229011536
1600943990.648286,118,0.30922240018844604
1600944024.335953,119,0.3216323256492615
1600944058.007289,120,0.3278191089630127
1600944091.748313,121,0.312826007604599
1600944125.521538,122,0.3181232511997223
1600944159.246863,123,0.3084709346294403
1600944192.936568,124,0.3071554899215698
1600944226.747065,125,0.29693856835365295
1600944260.470084,126,0.2849099636077881
1600944294.202188,127,0.2993953824043274
1600944327.85811,128,0.2873070240020752
1600944361.581273,129,0.29268214106559753
1600944395.30316,130,0.28725335001945496
1600944429.013474,131,0.28750064969062805
1600944462.680858,132,0.27520889043807983
1600944496.371409,133,0.3114342987537384
1600944530.113629,134,0.25516340136528015
1600944563.809281,135,0.27604183554649353
1600944597.563861,136,0.27684956789016724
1600944631.27579,137,0.2708961069583893
1600944665.01911,138,0.26382485032081604
1600944698.831417,139,0.282253623008728
1600944732.46142,140,0.26958227157592773
1600944766.720497,141,0.27050742506980896
1600944800.406341,142,0.25939875841140747
1600944834.306603,143,0.2732941210269928
1600944868.789127,144,0.27055755257606506
