Wall time,Step,Value
1600891801.068108,0,0.4516489803791046
1600891810.582744,1,0.5820290446281433
1600891820.08269,2,0.6320570111274719
1600891829.577732,3,0.6572107076644897
1600891839.076217,4,0.6665735244750977
1600891848.566833,5,0.6787311434745789
1600891858.155701,6,0.6899105906486511
1600891867.863378,7,0.696757972240448
1600891877.384837,8,0.6941028237342834
1600891886.889435,9,0.707797646522522
1600891896.381712,10,0.7094745635986328
1600891905.870959,11,0.7132475972175598
1600891915.310029,12,0.7233090996742249
1600891924.860515,13,0.7168809175491333
1600891934.308398,14,0.7249860167503357
1600891943.812828,15,0.7357462048530579
1600891953.297146,16,0.731274425983429
1600891962.784087,17,0.7372834086418152
1600891972.223351,18,0.7391000390052795
1600891981.761815,19,0.7465064525604248
1600891991.222395,20,0.7445500493049622
1600892000.736148,21,0.7525153756141663
1600892010.290919,22,0.744829535484314
1600892019.742127,23,0.7522358894348145
1600892029.235494,24,0.7579653263092041
1600892038.720557,25,0.7583845853805542
1600892048.202165,26,0.75
1600892057.692806,27,0.7581050992012024
1600892067.202063,28,0.7669088840484619
1600892076.662671,29,0.7709614038467407
1600892086.180449,30,0.7702627182006836
1600892095.686567,31,0.7741755247116089
1600892105.182532,32,0.7754331827163696
1600892114.679182,33,0.7741755247116089
1600892124.125433,34,0.7793459892272949
1600892133.633323,35,0.7736165523529053
1600892143.111389,36,0.7843767404556274
1600892152.61713,37,0.7800447344779968
1600892162.102206,38,0.7868921160697937
1600892171.61873,39,0.7854946851730347
1600892181.122571,40,0.793180525302887
1600892190.584478,41,0.7934600114822388
1600892200.096863,42,0.7948574423789978
1600892209.576438,43,0.7948574423789978
1600892219.025294,44,0.7993292212486267
1600892228.621724,45,0.8007266521453857
1600892238.068292,46,0.804639458656311
1600892247.546053,47,0.8061766624450684
1600892257.035608,48,0.8040804862976074
1600892266.512022,49,0.8058971762657166
1600892275.98112,50,0.8096702098846436
1600892285.434851,51,0.8158189058303833
1600892294.914286,52,0.8100894093513489
1600892304.421961,53,0.8064561486244202
1600892313.904853,54,0.8144214749336243
1600892323.399478,55,0.8098099231719971
1600892332.949141,56,0.819172739982605
1600892342.447641,57,0.8165175914764404
1600892351.994379,58,0.8214086294174194
1600892361.5266,59,0.8225265741348267
1600892370.987325,60,0.8208496570587158
1600892380.503655,61,0.8247624635696411
1600892390.030005,62,0.8261598944664001
1600892399.482162,63,0.828116238117218
1600892409.012412,64,0.8254611492156982
1600892418.548542,65,0.8268585801124573
1600892428.051727,66,0.8323085308074951
1600892437.545119,67,0.8335662484169006
1600892447.0578,68,0.833985447883606
1600892456.530468,69,0.8363611102104187
1600892466.014541,70,0.8335662484169006
1600892475.528805,71,0.8328675031661987
1600892485.058745,72,0.8371995687484741
1600892494.533192,73,0.8370597958564758
1600892504.045411,74,0.8398546576499939
1600892513.521903,75,0.8399944305419922
1600892523.03004,76,0.8439072370529175
1600892532.524885,77,0.8447456955909729
1600892542.038819,78,0.8443264365196228
1600892551.562886,79,0.8480994701385498
1600892561.122556,80,0.8419508337974548
1600892570.665124,81,0.8462828397750854
1600892580.163534,82,0.8493571877479553
1600892589.65363,83,0.8490777015686035
1600892599.18153,84,0.8522917628288269
1600892608.630998,85,0.8525712490081787
1600892618.133696,86,0.8517327904701233
1600892627.575748,87,0.8515930771827698
1600892637.101876,88,0.8536891937255859
1600892646.669315,89,0.8549469113349915
1600892656.127425,90,0.8542481660842896
1600892665.668803,91,0.854108452796936
1600892675.136472,92,0.8531302213668823
1600892684.671669,93,0.8580212593078613
1600892694.158211,94,0.8548071384429932
1600892703.658083,95,0.8548071384429932
1600892713.164319,96,0.8601173758506775
1600892722.716568,97,0.8594186902046204
1600892732.166693,98,0.8617942929267883
1600892741.674241,99,0.8616545796394348
1600892751.165427,100,0.8610956072807312
1600892760.677606,101,0.8596981763839722
1600892770.192224,102,0.8624930381774902
1600892779.677715,103,0.8603968620300293
1600892789.239319,104,0.866126298904419
1600892798.680138,105,0.8641699552536011
1600892808.215563,106,0.8643096685409546
1600892817.76752,107,0.8680827021598816
1600892827.255801,108,0.8636109828948975
1600892836.796323,109,0.8629122376441956
1600892846.301265,110,0.8658468127250671
1600892855.760998,111,0.870318591594696
1600892865.24179,112,0.8673840165138245
1600892874.709959,113,0.8679429888725281
1600892884.234541,114,0.8652878999710083
1600892893.736087,115,0.8682224750518799
1600892903.200588,116,0.8696199059486389
1600892912.633729,117,0.8696199059486389
1600892922.128623,118,0.8712968230247498
1600892931.655537,119,0.8726942539215088
1600892941.136303,120,0.8683621883392334
1600892950.670555,121,0.868921160697937
1600892960.195755,122,0.8700391054153442
1600892969.696683,123,0.8728339672088623
1600892979.198039,124,0.870318591594696
1600892988.725372,125,0.872414767742157
1600892998.217394,126,0.8740916848182678
1600893007.704222,127,0.8717160224914551
1600893017.193821,128,0.8705980777740479
1600893026.633356,129,0.8726942539215088
1600893036.06713,130,0.8715763092041016
1600893045.621973,131,0.8707378506660461
1600893055.128181,132,0.8678032159805298
1600893064.590658,133,0.8731134533882141
1600893074.122487,134,0.8736724257469177
1600893083.586674,135,0.8749301433563232
1600893093.099466,136,0.8785634636878967
1600893102.574651,137,0.8756288290023804
1600893112.117109,138,0.8721352815628052
1600893121.602365,139,0.8773057460784912
1600893131.12741,140,0.8732532262802124
1600893140.628324,141,0.8770262598991394
1600893150.124553,142,0.8735327124595642
1600893159.692925,143,0.8767467737197876
1600893169.153689,144,0.8746506571769714
1600893178.649574,145,0.8778647184371948
